layer,expert,prefill_count,decode_count,prefill_mean_weight,decode_mean_weight
0,0,1335,8483,0.057494,0.079142
0,1,3,11724,0.096354,0.074887
0,2,2538,380,0.087592,0.064227
0,3,732,2928,0.064660,0.068280
0,4,1383,5500,0.108668,0.080063
0,5,5759,5003,0.122424,0.123076
0,6,2841,5771,0.062827,0.107728
0,7,4790,3655,0.124543,0.073866
0,8,1116,1945,0.076141,0.091624
0,9,3,53,0.055420,0.049772
0,10,640,2753,0.078913,0.069677
0,11,1306,3420,0.070454,0.075044
0,12,2190,3940,0.140310,0.100789
0,13,492,10746,0.089039,0.127330
0,14,1319,0,0.124313,0.000000
0,15,4921,16509,0.093061,0.112756
0,16,3530,12656,0.100574,0.101267
0,17,3930,21552,0.088574,0.110816
0,18,1924,3234,0.089029,0.076681
0,19,16,3873,0.153503,0.096496
0,20,2997,6995,0.122033,0.110560
0,21,2962,21647,0.097716,0.118350
0,22,1119,2400,0.078032,0.080115
0,23,2746,8566,0.115892,0.094881
0,24,673,1673,0.063137,0.066936
0,25,85,2285,0.041856,0.082347
0,26,1149,3348,0.079508,0.089614
0,27,758,2978,0.065349,0.070889
0,28,4513,7275,0.147605,0.152530
0,29,4410,8503,0.143881,0.121632
0,30,161,1292,0.075373,0.085973
0,31,1094,2786,0.119005,0.118112
0,32,1442,7507,0.080221,0.073947
0,33,50,2441,0.063035,0.116739
0,34,1547,9846,0.143103,0.099985
0,35,2032,2078,0.117166,0.105392
0,36,13,3385,0.079289,0.059578
0,37,2638,22894,0.160438,0.095096
0,38,4838,3725,0.079816,0.088972
0,39,2053,4276,0.105722,0.107824
0,40,2100,5426,0.058504,0.071375
0,41,2,144,0.050415,0.074663
0,42,1110,2313,0.104215,0.099473
0,43,2311,6543,0.086303,0.079594
0,44,1443,23776,0.100803,0.086123
0,45,1110,2119,0.076143,0.106604
0,46,10,526,0.025488,0.066926
0,47,1410,4464,0.069012,0.077417
0,48,893,1627,0.218450,0.215857
0,49,1960,10318,0.090571,0.159593
0,50,1008,1015,0.106576,0.112847
0,51,2219,7730,0.108242,0.120546
0,52,3110,2814,0.082758,0.095395
0,53,5976,12857,0.098973,0.109213
0,54,4327,8344,0.121702,0.104852
0,55,593,10942,0.074875,0.078903
0,56,4601,5289,0.092697,0.090071
0,57,115,777,0.062483,0.070339
0,58,2991,8254,0.124068,0.111808
0,59,2006,16913,0.092821,0.102261
0,60,3373,17708,0.141959,0.131794
0,61,3005,18599,0.089409,0.082846
0,62,1053,6976,0.104825,0.087941
0,63,478,5590,0.078039,0.064923
0,64,429,4196,0.094420,0.060216
0,65,1563,4491,0.090094,0.095279
0,66,2239,19306,0.138531,0.086519
0,67,1500,13369,0.099928,0.101878
0,68,4464,3718,0.114866,0.076312
0,69,458,7503,0.065975,0.072170
0,70,16,7345,0.062973,0.066803
0,71,675,5527,0.072879,0.065449
0,72,2617,5781,0.099162,0.088516
0,73,959,2316,0.069954,0.069456
0,74,2715,5535,0.096755,0.101762
0,75,2325,19568,0.081295,0.087740
0,76,5603,7474,0.079703,0.083686
0,77,2444,7219,0.072692,0.096421
0,78,0,629,0.000000,0.054983
0,79,12,386,0.054688,0.077277
0,80,2065,5018,0.109297,0.146017
0,81,0,321,0.000000,0.050714
0,82,3114,5751,0.087774,0.086798
0,83,774,2714,0.098468,0.101079
0,84,2046,4538,0.086639,0.099767
0,85,1,6992,0.222656,0.089645
0,86,3327,21917,0.099159,0.093665
0,87,3632,8072,0.105381,0.097315
0,88,3911,25853,0.141423,0.132727
0,89,2681,4968,0.084468,0.103131
0,90,4617,11220,0.128876,0.115701
0,91,3464,6182,0.086003,0.086658
0,92,2629,12114,0.099109,0.092677
0,93,2862,6156,0.113135,0.126661
0,94,3358,7227,0.087556,0.088607
0,95,197,861,0.068994,0.079239
0,96,182,1672,0.057506,0.075621
0,97,5447,12224,0.091747,0.104369
0,98,1318,4621,0.076827,0.096080
0,99,937,4880,0.068266,0.074176
0,100,68,4,0.054540,0.059143
0,101,52,14884,0.073073,0.105443
0,102,2408,19321,0.143241,0.148363
0,103,4567,7877,0.124645,0.105468
0,104,544,2626,0.075259,0.065113
0,105,7,8276,0.046212,0.081564
0,106,2157,12207,0.133069,0.153458
0,107,1982,3653,0.062228,0.064272
0,108,2874,14586,0.098256,0.088939
0,109,888,7356,0.083405,0.104779
0,110,14,5217,0.060416,0.062630
0,111,4090,10337,0.153800,0.090786
0,112,3559,19048,0.091899,0.103563
0,113,28,84,0.033766,0.056225
0,114,3166,13112,0.064927,0.114328
0,115,477,2854,0.098932,0.072319
0,116,1750,741,0.075835,0.088007
0,117,2530,8565,0.063445,0.078117
0,118,6671,13615,0.114022,0.119180
0,119,161,2901,0.064582,0.069154
0,120,5690,7023,0.110332,0.059448
0,121,1799,5120,0.080976,0.094119
0,122,1,14151,0.118652,0.115354
0,123,1866,5567,0.088164,0.094400
0,124,19,10174,0.059904,0.228734
0,125,4933,14761,0.108524,0.083834
0,126,1883,6733,0.128428,0.102459
0,127,3101,11130,0.103851,0.106303
0,128,0,1456,0.000000,0.083951
0,129,4988,23625,0.119821,0.093640
0,130,409,5940,0.074240,0.063064
0,131,2030,3175,0.161343,0.136442
0,132,2726,14056,0.069071,0.053946
0,133,4920,3846,0.226061,0.153291
0,134,1157,4470,0.075283,0.079819
0,135,609,16922,0.068197,0.090109
0,136,2323,6513,0.094359,0.099327
0,137,843,1856,0.078365,0.071977
0,138,1081,11368,0.163717,0.207198
0,139,319,9864,0.099005,0.134914
0,140,6729,15341,0.103222,0.091682
0,141,3232,6560,0.083771,0.097460
0,142,1529,3927,0.157593,0.127260
0,143,626,1942,0.085916,0.081579
0,144,197,1368,0.112780,0.109455
0,145,2213,5489,0.090253,0.087461
0,146,52,3636,0.059714,0.066192
0,147,3820,9218,0.090359,0.108417
0,148,60,4504,0.080550,0.059651
0,149,84,248,0.062070,0.064973
0,150,1319,11278,0.041992,0.062058
0,151,1,0,0.043945,0.000000
0,152,12,5210,0.037476,0.054375
0,153,482,13250,0.071891,0.069709
0,154,166,11926,0.129150,0.213896
0,155,5289,13443,0.102100,0.098549
0,156,0,6663,0.000000,0.071013
0,157,2910,5636,0.123315,0.124386
0,158,1,531,0.058594,0.061822
0,159,4737,8355,0.097833,0.091288
0,160,2584,16911,0.057875,0.085431
0,161,2145,7940,0.090457,0.088016
0,162,435,1377,0.073596,0.080462
0,163,844,5825,0.074195,0.080151
0,164,1740,15114,0.125836,0.080016
0,165,1168,3430,0.096863,0.098160
0,166,1412,12129,0.087905,0.101463
0,167,648,4534,0.094504,0.077729
0,168,1496,2186,0.172734,0.155508
0,169,4398,24047,0.144344,0.107342
0,170,3,2,0.042806,0.034912
0,171,5,38,0.061133,0.066374
0,172,2838,8480,0.117928,0.098602
0,173,290,226,0.036937,0.043433
0,174,1708,5907,0.083433,0.081616
0,175,1499,1875,0.089255,0.083596
0,176,1180,11922,0.053268,0.055823
0,177,1522,2231,0.113435,0.105806
0,178,2486,11608,0.076327,0.075086
0,179,62,544,0.056582,0.064841
0,180,41,6784,0.040900,0.078874
0,181,1299,25748,0.064796,0.115083
0,182,359,2465,0.070961,0.091400
0,183,1180,8012,0.103931,0.102605
0,184,717,21347,0.058911,0.100092
0,185,602,2652,0.075476,0.079440
0,186,1178,2960,0.058179,0.065401
0,187,1746,3946,0.159467,0.113590
0,188,1264,23627,0.066057,0.100501
0,189,3865,12756,0.057765,0.083052
0,190,1405,7162,0.080413,0.088373
0,191,500,1663,0.083579,0.088672
0,192,19,40,0.065982,0.070123
0,193,122,704,0.044669,0.066403
0,194,2327,5823,0.071728,0.091939
0,195,2786,7980,0.082958,0.099904
0,196,783,9138,0.082146,0.077690
0,197,318,7722,0.072462,0.084922
0,198,948,11956,0.095865,0.089971
0,199,2112,4536,0.174575,0.145667
0,200,7086,14389,0.080353,0.095579
0,201,1751,6328,0.125881,0.110316
0,202,2878,5990,0.122854,0.113176
0,203,1371,3168,0.074263,0.074129
0,204,2572,4943,0.092705,0.086080
0,205,2312,6147,0.097765,0.115891
0,206,3516,6091,0.096293,0.093763
0,207,1742,8068,0.095005,0.088170
0,208,164,5087,0.058534,0.061121
0,209,2530,21091,0.104453,0.098964
0,210,25,25,0.060371,0.057393
0,211,47,739,0.072006,0.086316
0,212,1091,3416,0.088805,0.085731
0,213,1160,2178,0.073672,0.065772
0,214,1170,5105,0.072156,0.088539
0,215,1759,9648,0.071118,0.098501
0,216,2549,2379,0.123772,0.108142
0,217,2670,6579,0.095413,0.103266
0,218,490,31373,0.115171,0.121875
0,219,1131,1885,0.084794,0.115011
