# 节点 id  地址:端口   —— 把 10.0.0.x 换成真实 IP
# 角色/显存来自 topo_fabric_mbps.json，仅供核对
N01  10.0.0.11:9101   # A30 24GB
N02  10.0.0.12:9101   # A30 24GB
N03  10.0.0.13:9101   # A30 24GB
N04  10.0.0.14:9101   # A30 24GB
N05  10.0.0.15:9101   # A30 24GB
N06  10.0.0.16:9101   # A30 24GB
N07  10.0.0.17:9101   # A30 24GB
N08  10.0.0.18:9101   # A30 24GB
N09  10.0.0.19:9101   # RTX6000 24GB
N10  10.0.0.20:9101   # RTX6000 24GB
N11  10.0.0.21:9101   # RTX6000 24GB
N12  10.0.0.22:9101   # T4 16GB
N13  10.0.0.23:9101   # RTX6000 24GB
N14  10.0.0.24:9101   # T4 16GB
N15  10.0.0.25:9101   # T4 16GB
