layer,expert,prefill_count,decode_count,prefill_mean_weight,decode_mean_weight
0,0,37515,147929,0.080706,0.103690
0,1,44870,702932,0.104852,0.131444
0,2,15650,1685,0.093244,0.068120
0,3,27603,387601,0.075538,0.072219
0,4,16562,180238,0.094184,0.081305
0,5,28316,96607,0.108696,0.116555
0,6,26019,65934,0.066311,0.082388
0,7,28125,90055,0.104278,0.083156
0,8,6173,20714,0.075148,0.082142
0,9,7,138,0.052944,0.048990
0,10,5879,59466,0.088239,0.084983
0,11,8061,89409,0.078375,0.077847
0,12,7756,47425,0.124736,0.103698
0,13,21142,341037,0.107684,0.115384
0,14,14613,151,0.090678,0.086374
0,15,48812,358244,0.088016,0.096131
0,16,37125,189303,0.089706,0.090140
0,17,43881,394023,0.098026,0.102197
0,18,3549,8362,0.081386,0.073668
0,19,51296,271243,0.128910,0.118072
0,20,25988,136525,0.126574,0.103527
0,21,32513,365069,0.099904,0.104796
0,22,8994,51637,0.079412,0.081662
0,23,23924,194563,0.101741,0.091691
0,24,3969,15454,0.064546,0.064559
0,25,77773,463185,0.092177,0.091533
0,26,6034,75111,0.082010,0.089898
0,27,45500,367696,0.070137,0.077880
0,28,18499,103770,0.167127,0.172515
0,29,18844,90545,0.085677,0.071223
0,30,7901,79963,0.074725,0.081343
0,31,36633,130188,0.110672,0.115919
0,32,18347,204219,0.077300,0.074338
0,33,62807,444456,0.108999,0.120379
0,34,21055,246453,0.139086,0.105921
0,35,18563,66085,0.129297,0.116317
0,36,52825,301877,0.085143,0.070192
0,37,36195,364571,0.150821,0.085415
0,38,28915,263049,0.091679,0.090377
0,39,23362,104470,0.087725,0.089467
0,40,12385,94260,0.056871,0.065330
0,41,3305,5540,0.070090,0.068009
0,42,11246,55445,0.112819,0.101424
0,43,11491,111550,0.070535,0.075161
0,44,35003,501642,0.097111,0.092265
0,45,12433,67367,0.090952,0.109454
0,46,852,25054,0.085201,0.048132
0,47,19574,161947,0.069613,0.074891
0,48,6226,36765,0.189916,0.158652
0,49,4685,114923,0.089737,0.130912
0,50,11233,42348,0.113580,0.097310
0,51,32462,202921,0.076206,0.085420
0,52,35088,32292,0.068999,0.072899
