layer,expert,prefill_count,decode_count,prefill_mean_weight,decode_mean_weight
0,0,2559,9671,0.091973,0.104246
0,1,3332,11373,0.087562,0.085018
0,2,632,127,0.100561,0.093965
0,3,481,2929,0.074208,0.079192
0,4,280,6924,0.114501,0.086974
0,5,158,3565,0.100561,0.103377
0,6,1692,4807,0.075259,0.089569
0,7,171,4574,0.061426,0.086117
0,8,16,1303,0.080505,0.075783
0,9,0,1,0.000000,0.044189
0,10,394,2367,0.077641,0.082770
0,11,97,3836,0.098533,0.081523
0,12,22,5661,0.087491,0.111103
0,13,1230,7761,0.074944,0.118522
0,14,613,2658,0.070097,0.081005
0,15,77,6924,0.068971,0.089832
0,16,112,4543,0.110672,0.082362
0,17,3276,10607,0.117232,0.134699
0,18,226,410,0.078234,0.073658
0,19,2817,8565,0.141871,0.149378
0,20,498,7504,0.160005,0.104175
0,21,1002,9192,0.102723,0.137975
0,22,224,2362,0.092513,0.089519
0,23,250,5986,0.109156,0.109963
0,24,29,824,0.062290,0.065590
0,25,542,8563,0.074263,0.084413
0,26,194,3266,0.072691,0.077989
0,27,308,4417,0.078838,0.071368
0,28,699,5664,0.184854,0.160415
0,29,806,4923,0.095316,0.071740
0,30,366,2969,0.090142,0.077131
0,31,2269,8101,0.132311,0.118207
0,32,1180,7047,0.073367,0.072874
0,33,171,3576,0.074130,0.092960
0,34,492,6315,0.116444,0.136848
0,35,191,3674,0.095316,0.147806
0,36,4652,8021,0.098117,0.081427
0,37,2463,10389,0.103758,0.096726
0,38,455,2686,0.080242,0.103079
0,39,1984,6915,0.091525,0.087317
0,40,1691,5159,0.109114,0.072644
0,41,2759,8589,0.086509,0.113980
0,42,287,2045,0.098569,0.089760
0,43,407,3584,0.077251,0.071692
0,44,1442,8356,0.073632,0.077359
0,45,1714,5742,0.099846,0.099542
0,46,0,4982,0.000000,0.095589
0,47,106,2588,0.060660,0.070585
0,48,239,3442,0.152639,0.171482
0,49,719,5461,0.101355,0.110323
0,50,2602,5178,0.070294,0.079377
0,51,589,2813,0.085984,0.088908
0,52,2529,11466,0.076952,0.102699
0,53,439,5109,0.084769,0.095194
0,54,856,5996,0.063438,0.069239
0,55,113,2760,0.073145,0.096522
0,56,195,2529,0.081058,0.075246
0,57,1237,6893,0.085328,0.081767
0,58,1219,5243,0.103071,0.112253
0,59,3320,3813,0.108751,0.097763
0,60,3399,10163,0.080817,0.095183
0,61,5662,16641,0.085536,0.087482
0,62,425,2799,0.061178,0.075611
0,63,315,6064,0.087075,0.071851
0,64,3224,10124,0.065328,0.068394
0,65,523,3803,0.084406,0.084795
0,66,1321,9060,0.091832,0.090938
0,67,2960,7278,0.080928,0.074458
0,68,1223,2633,0.126476,0.087700
0,69,1281,6324,0.070833,0.094210
0,70,2483,8297,0.118033,0.092281
0,71,298,3838,0.100193,0.074516
0,72,1223,4696,0.080199,0.095034
0,73,277,549,0.064137,0.062927
0,74,769,5130,0.076234,0.097841
0,75,1059,12727,0.070637,0.073540
0,76,326,115,0.045142,0.067160
0,77,351,5496,0.072097,0.079983
0,78,8,498,0.055573,0.078668
0,79,13,706,0.051288,0.079003
0,80,1249,7036,0.128921,0.176792
0,81,497,1268,0.049828,0.050935
0,82,881,1184,0.076067,0.078670
0,83,1161,3978,0.111298,0.091379
0,84,148,3344,0.098215,0.098479
0,85,46,1826,0.070578,0.067007
0,86,697,6738,0.065210,0.079808
0,87,3375,6529,0.071731,0.079089
0,88,4503,15428,0.087855,0.105121
0,89,302,3940,0.111578,0.094463
0,90,1375,6446,0.101802,0.106080
0,91,96,334,0.062279,0.072831
0,92,2093,4752,0.086225,0.083373
0,93,674,4793,0.097736,0.126146
0,94,150,763,0.076498,0.075390
0,95,101,336,0.073107,0.068325
0,96,533,9164,0.071954,0.079143
0,97,1594,6102,0.091348,0.090714
0,98,758,5094,0.087475,0.102541
0,99,659,5115,0.078233,0.082555
0,100,965,3671,0.081580,0.075197
0,101,1504,9678,0.084218,0.121435
0,102,3091,6372,0.139713,0.139985
0,103,341,4459,0.073398,0.076676
0,104,530,2666,0.080482,0.070822
0,105,0,3156,0.000000,0.075611
0,106,2536,9335,0.125909,0.146748
0,107,22,101,0.062966,0.085548
0,108,223,6811,0.090657,0.099416
0,109,174,3511,0.091864,0.093256
0,110,72,998,0.063290,0.063869
0,111,502,5019,0.203868,0.090342
0,112,906,9327,0.068757,0.101371
0,113,1,0,0.031128,0.000000
0,114,340,5067,0.088810,0.107202
0,115,602,7568,0.075958,0.072886
0,116,3973,6329,0.082568,0.091941
0,117,263,4018,0.087093,0.078972
0,118,239,812,0.077997,0.072630
0,119,1866,10340,0.087255,0.067995
0,120,4709,10388,0.101997,0.098709
0,121,501,4284,0.096956,0.094601
0,122,1,9130,0.053223,0.077150
0,123,530,6128,0.095330,0.103910
0,124,54,1904,0.067216,0.104668
0,125,1245,10658,0.062258,0.089874
0,126,626,2063,0.076733,0.096904
0,127,767,4017,0.093533,0.091998
0,128,4706,5955,0.095543,0.074696
0,129,3742,10576,0.067371,0.082391
0,130,908,4113,0.080461,0.074060
0,131,184,2688,0.146498,0.147370
0,132,3221,6409,0.063853,0.061907
0,133,293,2554,0.112955,0.161445
0,134,953,1513,0.083018,0.081806
0,135,1106,9605,0.061754,0.088775
0,136,1224,4888,0.128460,0.124037
0,137,272,788,0.091908,0.079308
0,138,2811,11287,0.189182,0.211380
0,139,414,8852,0.123826,0.131740
0,140,879,5463,0.066711,0.076857
0,141,612,3826,0.071034,0.081100
0,142,284,4065,0.104936,0.136517
0,143,180,1010,0.062474,0.081904
0,144,135,5403,0.100691,0.146728
0,145,189,2311,0.076655,0.075574
0,146,1894,10056,0.128577,0.089121
0,147,1499,4149,0.101129,0.101219
0,148,638,8338,0.073686,0.099591
0,149,1474,1718,0.054754,0.062350
0,150,2344,6384,0.063505,0.075874
0,151,590,660,0.079832,0.083696
0,152,171,5648,0.052747,0.089540
0,153,7,364,0.053362,0.062590
0,154,1906,9227,0.153585,0.165148
0,155,617,5905,0.088169,0.115731
0,156,0,1289,0.000000,0.057182
0,157,868,5096,0.140553,0.118247
0,158,1176,5465,0.081614,0.064187
0,159,1063,5118,0.084477,0.077236
0,160,130,4929,0.058290,0.073688
0,161,1561,5637,0.160144,0.106159
0,162,164,871,0.080461,0.074805
0,163,64,2228,0.054615,0.080996
0,164,3504,4055,0.085797,0.072293
0,165,813,3181,0.090906,0.101507
0,166,5379,8022,0.087586,0.091969
0,167,615,3403,0.088150,0.078241
0,168,110,2200,0.139426,0.157853
0,169,5809,13254,0.074100,0.082373
0,170,13,0,0.049542,0.000000
0,171,1128,7094,0.098694,0.092025
0,172,945,4097,0.087696,0.094951
0,173,1,44,0.034424,0.057007
0,174,150,2687,0.072133,0.069566
0,175,51,1584,0.086541,0.083336
0,176,3,2629,0.053711,0.053545
0,177,1226,9129,0.095111,0.106293
0,178,2135,5705,0.072323,0.082683
0,179,609,2390,0.079462,0.084456
0,180,22,1036,0.042375,0.067616
0,181,2104,10519,0.091141,0.127623
0,182,538,3544,0.085474,0.083670
0,183,8015,16108,0.111916,0.100581
0,184,4635,18810,0.107382,0.100872
0,185,167,728,0.077486,0.080362
0,186,19,321,0.058825,0.055493
0,187,13,3741,0.131817,0.103723
0,188,750,10003,0.082629,0.080598
0,189,698,3997,0.072175,0.073661
0,190,1113,4885,0.097483,0.084844
0,191,703,2965,0.082728,0.078035
0,192,1124,6135,0.067745,0.076177
0,193,63,2937,0.051496,0.066651
0,194,429,2361,0.088173,0.082617
0,195,1581,8758,0.094795,0.108976
0,196,596,3178,0.042702,0.124524
0,197,118,802,0.092720,0.087119
0,198,3743,11586,0.119093,0.132934
0,199,361,5306,0.069542,0.121628
0,200,401,9980,0.060735,0.095277
0,201,888,6914,0.077185,0.084205
0,202,471,7610,0.134473,0.129813
0,203,4,345,0.041077,0.052162
0,204,383,4157,0.086774,0.100643
0,205,599,4414,0.090631,0.106042
